service_name,latitude,longitude,service_type,service_icon,last_updated_at_UTC
Shale Road Landfill,-32.2630641,116.0142462,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Campbellfield Service Centre,-37.6507853,144.964227299999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Eurobodalla Service Centre,-35.877226,150.086303,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
Neerabup Biovision Advanced Resource Recovery Facility,-31.6774563,115.8080264,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Kemps Creek Resource Recovery Park,-33.8721241,150.7613028,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Eastern Creek Advanced Resource Recovery Technology (ARRT) Facility,-33.806406,150.851772,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Moruya Material Recycling Facility,-35.877003,150.086399,Materials recycling,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-mrf.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=3259908D9CC6B50B9CC974BEBAF9DBF8D4CDFD99,12-Dec-2021 15:14:47
Bendigo Service Centre,-36.7056578,144.3188569,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Paget Service Centre,-21.193712,149.164177,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
Lucas Heights Resource Recovery Park,-34.04786,150.97475,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Gold Coast Service Centre,-27.9959092,153.3480733,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Chullora Resource Recovery Park,-33.8932344,151.041222299999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Victorian Desalination Project,-38.5875304,145.526541599999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Prospect Water Filtration Plant,-33.8486287,150.877308399999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Belrose Service Centre,-33.716069,151.215502,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
Gippsland Service Centre,-38.1793656,146.5646397,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
Geelong Service Centre,-38.0514654,144.3867489,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
SUEZ Water Technologies Western Australia,-32.01111,115.84712,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Beenyup Advanced Water Reclamation Plant Stage 3,-31.7779482,115.777858799999,Water,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-water-v2.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=DD01FD5FE1D69F3D1BB8095AFFE665D47DF15636,12-Dec-2021 15:14:47
Emerald Resource Recovery Centre,-23.524491,148.145003699999,Waste,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-recycling-uk.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=EBDD6332ADB5C537C166C4031D3EB507EB765C1C,12-Dec-2021 15:14:47
Emerald Service Centre,-23.524476,148.145108,Service Centre,https://suez.azureedge.net/-/media/suez-au/images/iconpoi/marker-service-centre.svg?h=12&w=12&v=1&d=20201110T233800Z&hash=2861C2CAFCFC12709F0E29C14538F0F7F769A2BE,12-Dec-2021 15:14:47
